TOL,BDRC,URL
P2943,P1640,https://treasuryoflives.org/biographies/view/Konchok-Gyatso/2943
P2948,P1646,https://treasuryoflives.org/biographies/view/Jigme-Rigpai-Lodro/2948
P2949,P1647,https://treasuryoflives.org/biographies/view/Samten-Gyatso/2949
P2952,P165,https://treasuryoflives.org/biographies/view/Trichen-37-Gendun-Rinchen-Gyeltsen/2952
P2973,P1669,https://treasuryoflives.org/biographies/view/Khyunggo-Tsel/2973
P2974,P167,https://treasuryoflives.org/biographies/view/Shingza-Paṇḍita-Lobzang-Dargye-Gyatso/2974
P2980,P1675,https://treasuryoflives.org/biographies/view/Nyamme-Sherab-Gyeltsen/2980
P2987,P1681,https://treasuryoflives.org/biographies/view/Kundrol-Drakpa/2987
P2996,P169,https://treasuryoflives.org/biographies/view/Jamyang-Zhepa-02-Konchok-Jigme-Wangpo/2996
P2997,P1690,https://treasuryoflives.org/biographies/view/Third-Yolmo-Tulku-Tendzin-Norbu/2997
P3000,P1693,https://treasuryoflives.org/biographies/view/Pema-Lingpa/3000
P3006,P1699,https://treasuryoflives.org/biographies/view/Ngari-Paṇchen-Pema-Wangyal/3006
P3008,P170,https://treasuryoflives.org/biographies/view/Lobzang-Chokyi-Nyima/3008
P3010,P1701,https://treasuryoflives.org/biographies/view/Second-Dorje-Drak-Rigdzin-Lekden-Dorje/3010
P3020,P1710,https://treasuryoflives.org/biographies/view/Dzogchen-Drubwang-04-Mingyur-Namkai-Dorje/3020
P3028,P1718,https://treasuryoflives.org/biographies/view/Lodro-Sengge/3028
P3040,P1729,https://treasuryoflives.org/biographies/view/Drakpa-Gyeltsen/3040
P3049,P1737,https://treasuryoflives.org/biographies/view/Fifth-Kirti-Lobzang-Tenpai-Gyeltsen/3049
P3061,P1748,https://treasuryoflives.org/biographies/view/Fourth-Zhabdrung-Karpo-Lobzang-Tubten-Gelek-Gyeltsen/3061
P3062,P1749,https://treasuryoflives.org/biographies/view/Zhabdrung-Karpo-Ngawang-Lobzang-Tenpai-Gyeltsen/3062
P3064,P1750,https://treasuryoflives.org/biographies/view/First-Amdo-Zhamar-Ngawang-Trinle/3064
P3072,P1758,https://treasuryoflives.org/biographies/view/Twelfth-Chone-Sakyong-Jamyang-Norbu/3072
P3074,P176,https://treasuryoflives.org/biographies/view/Belmang-Konchok-Gyeltsen/3074
P3080,P1765,https://treasuryoflives.org/biographies/view/Konchok-Chopel/3080
P3085,P177,https://treasuryoflives.org/biographies/view/Fourth-Dalai-Lama-Yonten-Gyatso/3085
P3086,P1770,https://treasuryoflives.org/biographies/view/Lobzang-Neten-Tsondru/3086
P3101,P1784,https://treasuryoflives.org/biographies/view/Kuyalwa-Rinchen-Gon/3101
P3107,P179,https://treasuryoflives.org/biographies/view/Seventh-Dalai-Lama-Kelzang-Gyatso/3107
P3109,P1791,https://treasuryoflives.org/biographies/view/Lobzang-Chodrak/3109
P3121,P1801,"https://treasuryoflives.org/biographies/view/Dungtso-Repa-""The-Earlier""/3121"
