BDRC Control,BDRC RID,BDRC IG,Record Number,Title,Author,Topic,Topic RID,Collection,Language,Script,Material,"Support (Manuscript, Pecha, book, etc.)",Creation Date (if known),Creation Date in Common Era,"Dimensions 1 (i.e. Length, etc. in cm)","Dimensions 2 (i.e. Height, etc. in cm)",Number of folios,Lines per leaf/folio,rKTs number (if applicable),Notes,Publisher,Publication Date,Publisher Location,Series,Volume
W1NPL143-I1NPL143,W1NPL143,I1NPL143,0030,Śrī 3 yoginī vrata prārambha,,Kathā,T216,Yagya Ratna Shakya,Nepal Bhasa,Devanagari,Thyāsaphū,Manuscript,,,24.5 cms,10.5 cms,13,9,N/A,,,,,,
W1NPL162-I1NPL162,W1NPL162,I1NPL162,0031,Skandrapurāṇe rājā daśarathakṛtaṁ śaniścarastotra,,Stotra (Hindu),T67 & T1KG89007,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,19.5 cms,6.5 cms,7,5,N/A,,,,,,
W1NPL8-I1NPL8,W1NPL8,I1NPL8,0008,Sindurābhiṣekavidhi,,Tantra,T2129,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,21 cms,9 cms,7,7,N/A,,,,,,
W1NPL200-I1NPL200,W1NPL200,I1NPL200,0009,Satsatva mānasika pūjāvidhi,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit/Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,,,18 cms,10 cms,20,8,N/A,,,,,,
W1NPL171-I1NPL171,W1NPL171,I1NPL171,0010,Ṣaṭpañcāśikā,,Astrology,T1834,Sagar Byanjankar,Sanskrit,Devanagari,Yellow Paper,Manuscript,,,25.5 cms,12 cms,6,11,N/A,,,,,,
W1NPL108-I1NPL108,W1NPL108,I1NPL108,0011,Sarvārdha siddhi,,Kathā,T216,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,,,33 cms,10 cms,43,8,N/A,,,,,,
W1NPL104-I1NPL104,W1NPL104,I1NPL104,0012,Saptavidhānuttara pūjā,,Pūjāvidhi,T977,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,NS 984,1863 CE,20 cms,11 cms,13,5,N/A,,,,,,
W1NPL13-I1NPL13,W1NPL13,I1NPL13,0013,Saptaśatikāprajñāparamitā,,Sūtra,T769,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,NS 1013,1892 CE,25 cms,7.8 cms,44,6,K24,,,,,,
W1NPL137-I1NPL137,W1NPL137,I1NPL137,0014,Śānti tīrtha māhātmya,,Mahātmya,T25,Yagya Ratna Shakya,Sanskrit,Devanagari,Yellow Paper,Manuscript,,,25 cms,10.7 cms,7,7,N/A,,,,,,
W1NPL140-I1NPL140,W1NPL140,I1NPL140,0015,Samvarodayatantra,,Tantra ,T2129,Yagya Ratna Shakya,Sanskrit,Devanagari,Yellow Paper,Manuscript,,,31.2 cms,12 cms,6,8,N/A,,,,,,
W1NPL184-I1NPL184,W1NPL184,I1NPL184,0016,Śabda artha,,Dictionary,T220,Kiran Shakya,Sanskrit/Nepal Bhasa,Devanagari,Yellow Paper,Manuscript,,,12.5 cms,18.2 cms,32,14,N/A,,,,,,
W1NPL114-I1NPL114,W1NPL114,I1NPL114,0017,Ratnadhvaja uddhāraṇa kathā,,Kathā,T216,Yagya Ratna Shakya,Nepal Bhasa,Devanagari,Thyāsaphū,Manuscript,,,30 cms,15 cms,12,10,N/A,,,,,,
W1NPL170-I1NPL170,W1NPL170,I1NPL170,0018,Pūrṇimā vrata,,Ritual,T977,Sagar Byanjankar,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,20 cms,7.5 cms,4,7,N/A,,,,,,
W1NPL22-I1NPL22,W1NPL22,I1NPL22,0022,Puṇyatīrthamahātmya,,Purāṇa,T2KG207410,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,24 cms,9cms,8,7,N/A,,,,,,
